place,title,link,published,source,domain,category,confidence,importance,reason
New York NY,Conservative super PAC threatens to unseat Republicans  - Reuters,https://news.google.com/rss/articles/CBMi8gRBVV95cUxOQmxWeUxENi00M0pWTFVPSlA1blpyRUZuOWhRMzY3TTl1d3NvcFZicTJwRUpncnJYMElYM2xXaVRSQUhEX2xWNHlEcFROMEJqa3VKSVh1Um8yLU01X2VZZ004d25iMXNaQWg1eVczVmNYUGlGUGpqcUNRYk1ZT0N4N1NyaVBZdzJNLUNydVYyVER0UGVZRk1ORm5DbnB6WGpGR3FVR0hDc3ZYRFZFeWtOOUpvcDBsR2tYYi01ekVLU1o1VmpLSW5IMFdmZVg0czJ0Y1ZFSHB0WGctOVY0RjNnaUQyZGYxTHpxVXB0VEZrbmhYNjVfU2hhZTN5YmZSa2RKdUV3WWxhb2hNZllxY1o2ZTg4cU5fVG9GbXgzemlRcG1pQXg4MHZhbmVFbWtyVzZuYUYzWVA5cjVCWVl2TklJcDNDTXlHaTBGQ2Y4Si11dmJVNHZPLTEzeTBMLUpsUVBzeGQwTHg5clBSdksyOGotQ3JFUDJ6SGxwcW9HVi1McXJYTXNROTZmamdPZ0VnYVB3TzE3OExxRFV3RU9NSUprdTJ6U2dKTG9DVzJOZVVzS004NWF4MmFxQWU5MG9XaTliaEtTS1Z1OHVEYU5QcnBBVG4xcXNha1kyck1pSjdDcDFJaGZtSVhzM19LM3l1bGtBbVB0T1ZfeXhDNGRsTzUzUUplcTBxSGlDdnlfSEJhY1A4QWQzZnBINkl4UEJDUTR4RW95eXhQS25FNWR3cUdlNFB5V3Q1c3Fla0otclhQZzlvSk1yRXgxTXhtc2hCTDBCaG93N3k1RV9KcmRRVEZLNWFxTEJoTUZWVHJvdVB1dTJTZw?oc=5,"Fri, 24 Apr 2026 10:43:50 GMT",Reuters,news.google.com,nonlocal,0.99,0.16,National Republican super PAC story lacks direct local NYC relevance.
New York NY,Warsh's quest for better inflation data faces hurdles - Reuters,https://news.google.com/rss/articles/CBMi5ARBVV95cUxNclh2TWRrZm9WQmRFMUt5U2FSZGYyS1Y1Umo3TWVDOElDWi1NQjRjTk84bnNWeDIxSi14MzhsRHRiMW5hcGFTdmJpeWhwQ0xQVlN5aXZya2Q5ci1ETFdBUmJKZnU1Uy1mVi1jaHJSTnpjQWVsTHJPRDE0eVNHeXBjbWxPRWtEeHNmR25EaFdNbEd4RGVrTkliOXpPWlU5VjU0S3FzWDNxRmlYcUU5NHEwQ250TVVGVVVMRlNfWmw2bnZWT0IxZzY1UkMxNXAtMkF6b2luOV84VGl2RnFFWXUyUVpnd01URHVvWER5RC1HZWE3NGxCQnUxa2xzcktxQ0ZQNE5PS0pfX2ZnNFMtWW9kZkJsbXA4MVZfeTRKY19pNHliSGVJT2RJWVlCbE81NGUtc0JmSXVBSkpYQkVJVFBpOG9UdjlELUlCYlUyM2JUTTdMRmxYWUstSWtnaHh1VmVhc2tTbkM2Z09wYVMwd0JNaVoxVFAzUGl6dUlRa0d2dFFlaWZTc09xNUNTTVNCZ2M0WDRiV2ZsZjdaUGc5T0UwVFdEWlRIYk9MU1JZa3RmR0hEVm0tTGtaVFd6Q21FUUUtTnNXMTZ6Y0ZGWTQtNU50aVFERW9XMDV6elJNdDB4aVd6d1FTSUh2RkdqNkMtNlBtYmlMZ2oyc0hRZUliYzZoMkRNWTg2NjBZNXNEZXFVZkNHZE9ia2s0aDZ0VVFrZ3A0TXo2SzdRNnZVZW5Ua0gzMGMxYmdhQVlUaXQteFRLTDJhREJYemxIaDBVc3VxeHE4VUlaU3Q2Ymp4Qm02TmhETFpIdjY?oc=5,"Fri, 24 Apr 2026 10:08:52 GMT",Reuters,news.google.com,nonlocal,0.98,0.14,"National economic policy and inflation data story, not local."
New York NY,"Housing voucher funds dry up years ahead of schedule, thousands of NYC residents will lose vouchers - ABC7 New York",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQVmVvTExZczJMdjJDSVZGbGhKTTlBeEtzNzZLVHV4dXVNcWp5MFJyYlJvY1duLTJzekswV1g2UmE4bmlDQWxFRWxYNXFGNTJtblRJR0V2eWdyZDZRTVVRa1lfNDZUdmJhekIxU2tOZEVwMXIwRFdSNk10UWdpU2Vabk9WU01DSHVFNTNZX0NxVkd0RE9zV05BN2x3OUNyR2JYVVRzV05wY0ZyNHhvMGxzbTBoTm9mTk9rODNyei1xdWLSAcYBQVVfeXFMT1dRU1NnYWw5cGMwalRVeWVFMTFDQm1felJoU1E0TXB3bTZncUdyc3pEb2ZNeEd6U01KblJrdWl5WU95NkJoRW9XbFFxNVFDVDdWMVhxb1pWOHJQV0tGSFo5cEFBTUNpb2szV3NXQTZEaEt5dFU1c1ROZEV4aWdOZVhYWmFxcUxRT1JaOXZoMkprNDJfM3VFZGZuMU5GZVVQaDliX2c1b2lYMkhJa1RyUy1aSlk1ekxmdThsanBMLTI2MU9DcUdR?oc=5,"Fri, 24 Apr 2026 09:49:42 GMT",ABC7 New York,news.google.com,opportunities_welfare,0.97,0.86,Loss of NYC housing vouchers directly affects residents’ benefits and social support.
New York NY,CEOs Didn’t Want Mamdani. Their Workers Contributed Big to His Campaign. - THE CITY - NYC News,https://news.google.com/rss/articles/CBMimgFBVV95cUxOSzVmZTZ2RHdtVnFSTlFfdlJhNVVlMVJoOGN6Mi1RVXBNOFc4V0V6cTYtSDhHbkNYQjFzWGRoYzVrV2Fuc3o0UW5zUGpiYW1SNURkMjhnbVdjOW1SdDF0Y3VGdUE5OUJDZklpdFZlWG5xOFotU1YwVnZ4bkVQY3ktWFhzVTd3b0FKOGppNEg4WnlacVNXR0pZc013?oc=5,"Fri, 24 Apr 2026 09:01:00 GMT",THE CITY - NYC News,news.google.com,civics_politics,0.92,0.56,Campaign finance and mayoral politics involving Mamdani are local political news.
New York NY,Enterprising Bronx teachers launch free libraries in bodegas to boost NYC literacy rates - New York Post,https://news.google.com/rss/articles/CBMitAFBVV95cUxNejNhVFU5dWFPdDRkdXVhMHlvcF9zSDMwNko3QUdjb2EtMlJOWEM3MEhtc015aFNPUllKRWt0QnFUcDdOSHpNcnJKbHdRZllDNDh1dUxUbXdsVGNGSWJ4U3hJVkphQVNQREJZbGtIZ0g3TGVzZmlqcTZjZkNrandCR21zUUdrZk5nMW8tSy1EUU94aktFYXpzdTVQWXJKNmcyZUdDNVhHZnFheHFVRHk0VnNfUU0?oc=5,"Thu, 23 Apr 2026 21:42:00 GMT",New York Post,news.google.com,community,0.9,0.5,Bronx teachers creating free libraries is positive local human-interest community news.
New York NY,I spent the day riding the A train with New York City’s ‘Snackman’ - Gothamist,https://news.google.com/rss/articles/CBMipwFBVV95cUxQYjYzdWs5dTRaNUtqakRfWXVLSWdNSjV1YjlUM1kwdmpSOHpKYXY4QndyWHR6aEZtN21KZmNvRmpSdHV0ZE5pUm12QzQ0QUVrTE40SkI4U3JIZ2JSWElVNmYxQmxDOUlHWm5QU0ZQcGJqRmMwOW0weXVyZ3h0VmxqWjZSNno4eEJCMEFoYTFFSkctNGRoVDdaai1XQ2xQanh2dnNDeFhuTQ?oc=5,"Thu, 23 Apr 2026 17:03:00 GMT",Gothamist,news.google.com,community,0.95,0.31,Human-interest profile about NYC’s Snackman on the A train.
New York NY,These are the 15 hardest restaurant reservations in NYC right now. We tell you how to get lucky. - Time Out Worldwide,https://news.google.com/rss/articles/CBMi9AFBVV95cUxQSUhMOHltYjc1TnJUNnc2c3hjOVdEcFhvOE9oUXFOSjZZYmpuS0RaTGwycmh1VC1CVmRSN1NjODgtNzJLMFJlcnFWRXBvNUNzNlRXaXNtdmg0S19yZW51d2NpcDI5aGJISXk3aXFDTjk1cXNESzZjVFk5YkVTclJyRzRWV2VGb01QakRxREt2d1RRakpXRjJ6QWhnWHJJRGhxUUozR1lPY2tYd3h0Z29OUHdHNFRBY2dqWGN5MEh6SDdob043eGItaUlyZGF1M05JMnlVY3VoMTBRdUlfUmhFLW1nOGpzRFpyckRkNGs0UGtfbjNQ?oc=5,"Thu, 23 Apr 2026 18:30:30 GMT",Time Out Worldwide,news.google.com,community,0.96,0.38,NYC restaurant reservation guide is local lifestyle and dining coverage.
New York NY,NYC hit-and-run driver who critically injured boy on scooter arrested after escape overseas - New York Daily News,https://news.google.com/rss/articles/CBMiywFBVV95cUxOUEx2YlhZdE93RmZPYkRxOXRQMFVhTGRienVfeFlTXzFXdmZIVW5mTnRrNFBmaHppNHY5TTI1MjZtZ1JOZ1JMaThYbmdQR0xzOWZ1aVhGNUlHbnRVQTNNR21CYUtnZ0FvRFVNdWZuS256Vlc0ampLZXpFQThrekFhMmpFdVYydVFGQXdyUnRCamtvRHdnSlh0SW1XQTV2QXVYMUtIR0VJRkswWXZhOS1CSmh0ZW1LRUl6YjB0elVwWl9FZmFvbTk0VmthSQ?oc=5,"Thu, 23 Apr 2026 14:01:35 GMT",New York Daily News,news.google.com,civics_politics,0.97,0.57,"Hit-and-run arrest is a completed crime and police matter, not active alert."
New York NY,Inside The Long Retreat of Workers’ Compensation in New York - New York Focus,https://news.google.com/rss/articles/CBMia0FVX3lxTE1SS3dCODZ5cHpzbFRVcDV0Y1dYN0djZEJBLXVRM0JRTEtjcHFLa2tDZ1o0VHRVVEtGU3J3YTh6Q250eVlrSXVSTVJYdEM5Tm90RGdzVVRSd293WC1mMmMtQ3hfSWI3Z0JsalZ3?oc=5,"Thu, 23 Apr 2026 17:59:00 GMT",New York Focus,news.google.com,opportunities_welfare,0.78,0.58,Workers’ compensation concerns benefits and support systems for New Yorkers.
New York NY,"He wants Muslims out of the U.S., and he’s Blakeman’s opener - Politico",https://news.google.com/rss/articles/CBMizwFBVV95cUxQaDRfTkdSSmxEcGdmUTU4LWZTczRvVF9ocktjeXlPNlotaVhuaXhVUERrcVZGbWhycnRvLU42a0NXalNXa1lkaG1HSmh0WjhEd2QwOUR5b281d2NERFRVNkdqekh3ZnZOSlplMXJjcGtwWktOcDgzMkg5end2bUwzcThpN0JuR09BNXNSYWVkLVBiSkd3SXpHWXViRkdFeU1UdEU2U0s1QktNel9ESklnNVRYdjlDblp2QXpJZVM0cE1aV2VZdWMwV0Q2ZmNwbUE?oc=5,"Thu, 23 Apr 2026 21:16:17 GMT",Politico,news.google.com,nonlocal,0.62,0.24,Headline centers on national anti-Muslim stance; local tie is unclear and secondary.
New York NY,Unions Met With Mamdani Team Over Protest ‘Buffer Zone’ Bill - THE CITY - NYC News,https://news.google.com/rss/articles/CBMijwFBVV95cUxNM0s1Qk5LZU00cGV2SFFsazRUc0FqYVNvTWRlQlplZE9mVWlXSVNGSmFIaDdOU0l1d1RneUFNNzhveFpKX01EV3NyS2wtcEdTM1h5MXhuMmEzbEZtaVhmSEJVR01CbWhmVk05QUxDeTF5SWhZdWRzMGVWeUxDbm4zZmlTNTR0c241MHR4Yl9KTQ?oc=5,"Thu, 23 Apr 2026 18:22:13 GMT",THE CITY - NYC News,news.google.com,civics_politics,0.95,0.55,Union meetings over proposed protest buffer zone bill are local policy negotiations.
New York NY,Is Goop Good? - Grub Street,https://news.google.com/rss/articles/CBMiekFVX3lxTE5PYXJWd0xnbjBuUUJqNHJQVE1PWmVTcnR2WXNCNkk3aVJrWU9VZ3VHYU9kVy1Ia0FGYzkzRE5XOXoyUE9SYUVMOHlkeTBQeUJEWmRGU0JOdUVXR2Zhel9RY2o3Z3NiV05BNWFQMXE3Y003MFdCZWR4SzFB?oc=5,"Thu, 23 Apr 2026 14:05:01 GMT",Grub Street,news.google.com,nonlocal,0.72,0.1,Generic lifestyle/opinion headline lacks clear NYC local relevance.
New York NY,"Two dead, 11 injured in five-alarm fire in Bronx’s Little Italy - Bronx Times",https://news.google.com/rss/articles/CBMijwFBVV95cUxOQ0xqWnU5NmJURnFWVjkxWlA2RzFhQ2pKNzR1ZjZ6Rzh0czNFbVh3eUxxbWNRekpMeUVQeGRkM19ReWpPNDRsVUtYbEIzMFZyQklYdkhQUmlzMV82ZXNMRG9LR0JGRUQ5aU1KNHZCUjFGWWF1QTVmVXNnclp2bElLNFNOSm5BVVgwcmtLT0lKYw?oc=5,"Thu, 23 Apr 2026 18:20:49 GMT",Bronx Times,news.google.com,civics_politics,0.74,0.72,"Major Bronx fire with casualties is serious local incident, but not framed as active emergency."
New York NY,Opinion: Most Empty Rent-Stabilized Apartments Don’t Need a Lot to be Habitable - citylimits.org,https://news.google.com/rss/articles/CBMiowFBVV95cUxOdThDMS16T3NoNXJLMFpPRjlDNE9qeloxNlpXQVFhWktsVXJiMjVWd210Q2VPQWtjeWJRTmx6cG9sWFcxdVZzM2NMY1B6ajBNR1o1T09rRE9LREZYTFlCcE41emRlMS10SDY4NkVTenVZSV82YnRLVVE4c3pnclF0WEVCeFRCc2Fwem5OQzlhejdGdWd1VWFRUFhtcWJCQ0Ffa0hj?oc=5,"Thu, 23 Apr 2026 20:59:24 GMT",citylimits.org,news.google.com,civics_politics,0.83,0.41,Opinion on rent-stabilized apartments concerns NYC housing policy and regulation.
New York NY,"The latest NY spa, wellness wave: injecting ourselves with experimental peptides - Gothamist",https://news.google.com/rss/articles/CBMiqAFBVV95cUxOaEE4ZDk5V3FEUFRnNGFWM1h3VE96YzZmVTQ2OVlwRV9NZ3Nkc1I5Y1NkYWZDYXNfeC0yNEdJbm5ma3R2WFNXR21KdVJ0U0JvaVhqT05LdjAxQi1OOGJsamtRcWZpRGl5VVZpMWVfRjg0bHJFN294NjYtTE5UVGJaVlpMVHprUE1uVEl6X1piWUdVS2EwaENNNmp3ZS1EZFQ2RjVXelJ5bWM?oc=5,"Thu, 23 Apr 2026 10:31:33 GMT",Gothamist,news.google.com,community,0.78,0.28,Local wellness trend piece is lifestyle coverage for NYC readers.
New York NY,New York’s Self-Induced Repeat Offender Problem - City Journal,https://news.google.com/rss/articles/CBMiggFBVV95cUxNbmxhSURDS2xNbFFoLXVNdXBWdWFRaGo5WElfcFN6RnBCblItRnpHU3NXNm10MVk5dFRISFpFa016M1c4TF9BYXNJU1ZzQzh2MHJ2OVFGS2MzeWI2U0RkRlJkRWZGbldMdHlMWHAydW8zeHNnSlNPR2dDYk1vRDdPYkR3?oc=5,"Thu, 23 Apr 2026 12:06:15 GMT",City Journal,news.google.com,civics_politics,0.79,0.49,Opinion on repeat offenders and public safety policy in New York.
